question,category,options,answer,explanation
飛行中に機体から発火した場合の扱いとして正しいものはどれか。,規則,a.火が消えれば報告不要|b.飛行中の発火は「重大インシデント」として報告が必要|c.機体が全焼しなければ報告不要,b,飛行中に発生した火災は、墜落や延焼のリスクが高いため重大インシデントとなります。
飲酒操縦（アルコール影響下での飛行）に対する罰則はどれか。,規則,a.50万円以下の罰金|b.1年以下の懲役又は30万円以下の罰金|c.厳重注意のみ,b,飲酒操縦は非常に危険な行為として、懲役刑を含む重い罰則が設けられています。
事故報告をせず、または虚偽の報告をした場合の罰則はどれか。,規則,a.10万円以下の過料|b.30万円以下の罰金|c.50万円以下の罰金,b,隠蔽や虚偽報告には罰金刑が科せられます。
「フレネルゾーン」の説明として適切なものはどれか。,システム,a.送信機と機体を取り囲む球状の空間|b.アンテナ間に形成されるラグビーボール状（回転楕円体）の空間|c.電波が届かない死角の空間,b,見通しが良くても、この空間内に障害物（地面含む）があると通信品質が低下します。
GNSSの測位精度を表す指標「DOP」の値について、正しい記述はどれか。,システム,a.値が小さいほど精度が良い|b.値が大きいほど精度が良い|c.値は精度に関係ない,a,衛星の配置バランスが良い（空に広く分散している）とDOP値は小さくなり、測位精度が向上します。
インシデント報告の対象となる「航空機との接近」とは、どのような状態を指すか。,規則,a.接触した状態|b.衝突または接触のおそれがあったと認める事態|c.視界に入った状態,b,実際にぶつかっていなくても、「危なかった（ニアミス）」と感じられる事態は重大インシデントとして報告が必要です。
SHELLモデルにおいて、エラーの分析対象となる中心要素「L」は何を指すか。,運航,a.Liveware（人間・操縦者）|b.Logic（論理）|c.Location（場所）,a,SHELLモデルは、中心にいる人間（L）と周辺要素（S、H、E、L）との不適合を分析する手法です。
「インシデント」と「事故」の違いに関する説明として適切なものはどれか。,規則,a.インシデントは報告不要だが、事故は報告が必要|b.インシデントは事故に至る可能性があった事態、事故は実際に被害が生じた事態|c.インシデントは機体の故障、事故は人的ミス,b,結果として被害が出たのが事故、出る手前で防がれた（または被害が出なかった）危険な状態がインシデント（重大インシデント）です。
バッテリーの「並列接続」を行った場合の変化として正しいものはどれか。,システム,a.電圧が2倍になる|b.容量が2倍になる|c.変化しない,b,並列接続は容量（Ah）が増え、電圧（V）は変わりません。直列接続は電圧が増えます。
5.7GHz帯（産業用ドローン）を使用するために必要な「第三級陸上特殊無線技士」の資格は、誰が管理するものか。,規則,a.国土交通省|b.総務省|c.経済産業省,b,電波法や無線資格は総務省の管轄です。
気圧センサによる高度維持において、誤差が生じやすい気象条件はどれか。,システム,a.晴天無風の安定した日|b.気圧が急激に変化する時（雷雨接近等）|c.気温が一定の日,b,気圧センサは気圧の変化を高度の変化として読み取るため、天候による気圧変化を「高度が変わった」と誤認することがあります。
GPSなどの衛星測位システムにおいて、精度を向上させる「RTK」とは何の略か。,システム,a.Real Time Kinematic|b.Radio Transmission Key|c.Remote Tracking Kite,a,固定局と移動局のデータをリアルタイムで突き合わせ、センチメートル級の精度を実現する測位方式です。
プロペラが高速回転することで発生する「ジャイロ効果」が機体に与える影響はどれか。,システム,a.機体の姿勢を安定させようとする力として働く|b.機体を常に右に旋回させる|c.揚力を減少させる,a,回転体はその姿勢を保とうとする性質（ジャイロ効果）があり、これが飛行の安定性に寄与します。
リチウムイオンバッテリーの発火時に、水を使って消火することについての是非はどれか。,運航,a.リチウムと水が反応するため厳禁である|b.大量の水で冷却・消火することが推奨される場合が多い|c.砂をかけるしか方法がない,b,以前は禁忌とされましたが、現在は大量の水による冷却効果で熱暴走を止めることが有効とされています（※ただし状況や規模による）。
特定飛行において、事故発生時に「救護」よりも「報告」を優先した場合の法的な扱いはどうなるか。,規則,a.報告義務違反にはならないが、救護義務違反に問われる可能性がある|b.報告が遅れたことによる罰則のみが科される|c.問題はない,a,救護は最優先の義務であり、これを怠ると重い罰則（救護義務違反）の対象となります。
「安全マージン」をとったバッテリー運用として適切な残量はどれか。,運航,a.0%ギリギリまで使い切る|b.10%残して着陸する|c.20%～30%程度残して着陸する,c,突風や着陸のやり直しを考慮し、余裕を持って着陸させるのが安全運航の基本です。
電波法における「不法無線局」を開設した場合の罰則として正しいものはどれか。,規則,a.1年以下の懲役又は100万円以下の罰金|b.注意のみ|c.免許の停止のみ,a,電波法違反も非常に重い罪であり、懲役刑や高額な罰金が科せられます。
機体の帯電（静電気）が引き起こすトラブルとして考えられるものはどれか。,システム,a.バッテリーの容量が増える|b.地磁気センサや制御回路の誤作動|c.プロペラの回転が速くなる,b,乾燥した時期などの静電気放電（ESD）は、精密なセンサや基板を破壊・誤作動させる原因になります。
冬場などの低温環境下でバッテリーを使用する際の注意点はどれか。,運航,a.冷やして使用する|b.使用前に温める（プレヒート）|c.満充電のまま放置する,b,低温下では電圧が低下しやすいため、使用前に20℃〜30℃程度に温めることが推奨されます。
リチウムポリマーバッテリーを廃棄する際、塩水等に浸ける主な目的は何か。,運航,a.有害物質を中和するため|b.完全に放電させ、発火リスクをなくすため|c.リサイクルしやすくするため,b,残留エネルギーによる発火を防ぐための完全放電処理です。
「ベルヌーイの定理」により、翼の上面の空気の流れが速くなると、圧力はどうなるか。,システム,a.圧力が高くなる|b.圧力が低くなる|c.変わらない,b,流速が上がると圧力が下がり、その圧力差によって揚力が発生します。
2.4GHz帯の電波の特徴として、5.7GHz帯と比較した場合のメリットはどれか。,システム,a.直進性が強く、遠くまで届く|b.障害物をある程度回り込む（回折性が高い）|c.混信が全くない,b,周波数が低いほうが回折しやすく、障害物の影にも届きやすい傾向があります（ただし2.4GHzは混信が多いのがデメリット）。
送信機のアンテナの向きについて、電波が最も強くなる方向はどれか。,運航,a.アンテナの先端方向|b.アンテナの側面方向|c.アンテナの根元方向,b,ホイップアンテナは側面方向にドーナツ状に電波を放射します。先端は弱いです。
安全確保措置として「是正命令」が出される対象者は誰か。,規則,a.機体の製造メーカー|b.無人航空機を飛行させる者（操縦者や運航者）|c.機体の販売店,b,国交大臣は、安全確保に問題がある場合、操縦者や所有者に対して改善を命じることができます。
「インシデント」として報告義務がある事象はどれか。,規則,a.プロペラに虫がぶつかった|b.飛行中に機体が制御不能になった（行方不明含む）|c.着陸時に脚が少し曲がった,b,事故には至らなくても、制御不能や発火、航空機との接近などは重大インシデントとして報告必須です。
地磁気センサに悪影響を与える（磁気干渉を起こす）場所はどれか。,運航,a.鉄筋コンクリートの上|b.芝生の上|c.木製テーブルの上,a,内部の鉄筋が磁気を帯びていることが多く、コンパスエラーの原因となります。
リチウムポリマーバッテリーの長期保管に適した電圧（充電量）の目安はどれか。,運航,a.満充電（100%）|b.保管電圧（60%程度）|c.完全放電（0%）,b,満充電や過放電状態での保管は劣化を早めるため、定格の50〜60%程度（ストレージ電圧）で保管します。
バッテリーの充電率（SOC）が低下した場合、出力（パワー）を維持するために電流はどう変化するか。,システム,a.電流は減少する|b.電流は変化しない|c.電流は増大する,c,電圧が低下した状態で同じ出力（W）を出そうとすると、反比例して電流（A）が増大し、発熱の原因となります。
飛行計画の策定において、緊急時に備えて確保しておくべき場所を何と呼ぶか。,リスク,a.緊急着陸地点|b.セーフティゾーン|c.ベースキャンプ,a,飛行経路沿いに不時着可能な場所（緊急着陸地点）を予め選定しておくことがリスク管理上重要です。
無線通信で使用される「2.4GHz帯」の特徴として正しいものはどれか。,システム,a.直進性が強いが、障害物の背後には回り込みにくい|b.障害物を透過する力が非常に強い|c.雨の影響を全く受けない,a,周波数が高いほど直進性が増し、回折（回り込み）しにくくなるため、見通しの確保が重要です。
飛行機の重量が2倍になった場合、同じ迎え角で飛行するために必要な飛行速度（または失速速度）は約何倍になるか。,システム,a.約1.4倍|b.約2.0倍|c.変わらない,a,重量が2倍になると揚力も2倍必要となり、速度は√2倍（約1.41倍）必要となります。
「レベル3.5飛行」を行うために加入が必須とされている保険はどれか。,規則,a.機体保険（機体の修理費補償）|b.第三者賠償責任保険（対人・対物補償）|c.搭乗者傷害保険,b,不測の事態に備え、十分な補償が可能な賠償責任保険への加入が要件となります。
飛行中にGNSS信号をロストした場合、機体はどうなるか（一般例）。,リスク,a.自動的にその場で着陸する|b.ATTIモード（手動姿勢制御）に切り替わり風に流される|c.RTHが作動しホームポイントに戻る,b,位置情報がなくなるため、自動での位置保持ができなくなり、風任せに流されるため直ちに手動操作（当て舵）が必要です。
行政処分における「技能証明の効力停止」の期間は最大でどのくらいか。,規則,a.6ヶ月以内|b.1年以内|c.2年以内,b,航空法に基づき、違反の程度に応じて最大1年以内の期間を定めて技能証明の効力を停止することができます。
「捜索・救助のための特例」において、許可・承認が不要（適用除外）とならない空域はどれか。,規則,a.人口集中地区（DID）の上空|b.空港等の周辺の空域|c.第三者の物件から30m以内の空域,b,捜索・救助目的であっても、有人機との衝突リスクが高い「空港周辺」「150m以上」「緊急用務空域」は原則として特例の対象外であり、調整が必要です。
新設された「レベル3.5飛行」を実施するために加入が求められている保険はどれか。,規則,a.機体保険（自損事故用）|b.搭乗者傷害保険|c.第三者賠償責任保険（対人・対物）,c,不測の事態に備え、十分な補償が可能な賠償責任保険への加入がレベル3.5飛行の必須要件となっています。
重量100g未満の「模型航空機」であっても飛行が規制される空域はどれか。,規則,a.人口集中地区（DID）|b.空港等の周辺の空域|c.第三者から30m以内の空域,b,模型航空機であっても、航空機の安全に関わる「空港周辺」や「高度150m以上」の空域は飛行が禁止されています。
送信機の操縦モード「モード2」において、左スティックを上下に操作した時の機体の動きはどれか。,システム,a.上昇・下降（スロットル）|b.前進・後進（エレベーター）|c.機首の左右旋回（ラダー）,a,モード2では左スティックの上下がスロットル（上昇・下降）、左右がラダー（旋回）に割り当てられています。
送信機の操縦モード「モード1」において、右スティックを上下に操作した時の機体の動きはどれか。,システム,a.上昇・下降（スロットル）|b.前進・後進（エレベーター）|c.左右移動（エルロン）,a,モード1では右スティックの上下がスロットル（上昇・下降）、左右がエルロン（左右移動）です。
冬場、暖かい車内から寒い屋外へ機体を出した直後に飛行させる際、最も警戒すべき現象はどれか。,リスク,a.オーバーヒート|b.結露による基板のショート|c.プロペラの硬化,b,急激な温度変化により機体内部のセンサや基板に結露が発生し、誤作動や故障の原因となります。外気温に馴染ませてから電源を入れる必要があります。
リチウムポリマーバッテリーを廃棄する際の適切な処理方法はどれか。,システム,a.満充電にして不燃ごみに出す|b.塩水等に浸けて完全に放電させてから自治体のルールに従う|c.端子を露出させたまま回収ボックスに入れる,b,内部にエネルギーが残っていると発火の危険があるため、塩水で化学反応させて完全放電処理を行うのが一般的です。
バッテリーを長期間保管する際の「保管電圧（ストレージ電圧）」の目安はどれか。,システム,a.満充電（4.2V付近）|b.定格電圧付近（3.7V～3.85V程度）|c.完全放電（3.0V以下）,b,満充電や過放電状態での保管は劣化を早めるため、50～60%程度の容量（ストレージ電圧）で保管します。
「海陸風」の説明として正しいものはどれか。,リスク,a.日中は海から陸へ、夜間は陸から海へ風が吹く|b.日中は陸から海へ、夜間は海から陸へ風が吹く|c.一日中、海から陸へ強い風が吹く,a,日中は陸地が温まりやすく上昇気流が生じるため「海風」が、夜間は陸地が冷えやすいため「陸風」が吹きます。
スクールの修了審査（口述試験）で、機体識別表示を確認する際の正しいアクションはどれか。,運航,a.目で見て確認するだけでよい|b.スマホで撮影して保存する|c.登録記号（JU番号）を実際に読み上げ、用紙に記入する,c,ソースの動画に基づき、実際に番号を声に出して読み、その場で記録用紙に記入する手順が求められます。
修了審査の実技試験において、離陸直後に行うべき「舵の効き確認」の手順として正しいものはどれか。,運航,a.最大速度で前後左右に動かす|b.ホバリング状態で前後・左右・旋回の動作を少し行い、正常に動くか確認する|c.すぐに上空150mまで上昇させる,b,離陸後、低高度（目線の高さ等）でホバリングし、各舵が正しく反応するか、異音がないかを確認します。
飛行中にGNSS（GPS）信号をロストし「ATTIモード」になった際、機体はどうなるか。,リスク,a.その場でピタリと静止する|b.風に流されるようになるため、当て舵等の操作が必要になる|c.自動的に離陸地点へ戻る,b,位置補正が効かなくなるため、風がある場合は流されます。操縦者が常に位置を修正する必要があります。
フェールセーフ機能の「RTH（リターントゥホーム）」を設定する際、帰還高度を決める基準はどれか。,リスク,a.バッテリー消費を抑えるため可能な限り低くする|b.飛行エリア内の最も高い障害物よりも高く設定する|c.法令上限の149mに設定する,b,自動帰還中にビルや木に衝突しないよう、障害物より高い高度（安全高度）を設定する必要があります。
「フレネルゾーン」の説明として適切なものはどれか。,システム,a.送信機と機体の間の見通し線を中心に広がるラグビーボール状の空間|b.電波が完全に遮断される壁の裏側|c.プロペラが回転する危険な範囲,a,見通しが良くても、この空間内に地面や障害物があると通信品質が低下します。
アンテナの指向性について、一般的なスティック状アンテナ（ホイップアンテナ）の電波が最も弱い方向はどれか。,システム,a.側面方向|b.先端方向|c.根元方向,b,アンテナの先端方向には電波がほとんど出ないため、先端を機体に向けないように操作します。
カテゴリーIIB飛行が可能となる条件の組み合わせはどれか。,規則,a.二等資格＋一種機体認証＋立入管理なし|b.二等資格＋二種機体認証＋立入管理あり|c.資格なし＋機体認証なし＋立入管理あり,b,カテゴリーIIB（許可承認の一部免除）には、二等以上の技能証明、二種以上の機体認証、そして立入管理措置の3点が必要です。
機体認証制度において、メーカーが指定する「運用限界（使用の条件）」に含まれるものはどれか。,規則,a.機体の価格|b.最大離陸重量や限界風速|c.推奨するカメラの画素数,b,安全に飛行できる限界条件（風速、重量、高度、雨天対応など）が指定されており、これを守る義務があります。
「特定飛行」を行う際に、携行が義務付けられている書類の組み合わせはどれか。,規則,a.機体購入時の領収書と保証書|b.技能証明書と飛行日誌（記録簿）|c.住民票と印鑑証明,b,特定飛行時は、技能証明書（免許）と飛行日誌（および許可承認書、登録記号表示）の携行・表示が必須です。
事故発生時、操縦者が「最初」に行うべき最優先事項はどれか。,リスク,a.国土交通省への報告|b.負傷者の救護|c.機体の回収,b,人命救助が最優先です。報告や機体回収はその後の対応となります。
「重大インシデント」として報告義務がある事象はどれか。,規則,a.飛行中にプロペラに虫が当たった|b.飛行中に機体が制御不能になった（行方不明含む）|c.着陸時に脚が少し汚れた,b,事故に至らなくても、制御不能や発火、航空機との接近などは重大インシデントとして報告必須です。
飲酒操縦を行った場合の罰則（上限）はどれか。,規則,a.50万円以下の罰金|b.1年以下の懲役又は30万円以下の罰金|c.厳重注意のみ,b,飲酒操縦は極めて悪質とされ、懲役刑を含む重い罰則が規定されています。
登録記号の表示について、機体重量25kg未満の場合の文字の高さはどれか。,規則,a.3mm以上|b.10mm以上|c.25mm以上,a,25kg未満は3mm以上、25kg以上は25mm以上の文字サイズが必要です。
「人口集中地区（DID）」の基準となるデータは何か。,規則,a.5年ごとの国勢調査|b.毎年の地価公示|c.警察署の管轄エリア,a,国勢調査の結果に基づき設定される地域で、この上空は特定飛行に該当します。
飛行機（固定翼機）が離着陸する際、適切な風向きはどれか。,運航,a.追い風（背風）|b.向かい風（正対風）|c.横風,b,翼に十分な揚力を得つつ対地速度を抑えるため、向かい風で行うのが鉄則です。
ヘリコプターの「ダイナミック・ロールオーバー」が発生する原因はどれか。,運航,a.飛行中に急旋回すること|b.離着陸時にスキッド（脚）が地面に引っかかり、機体が傾くこと|c.エンジンが空中で停止すること,b,片脚を支点にして機体が横転してしまう現象です。離着陸時に特に注意が必要です。
マルチローターの「ボルテックス・リング・ステート」を回避するための降下方法はどれか。,運航,a.垂直に急速降下する|b.前進等の水平移動を行いながら降下する|c.その場でホバリングしながら待つ,b,自らの吹き下ろし気流（ダウンウォッシュ）に入らないよう、斜めに移動しながら降りるのが有効です。
プロペラのスペック「ピッチ」が大きい場合の特徴はどれか。,システム,a.1回転で進む距離が長く、高速飛行に適するが負荷が大きい|b.1回転で進む距離が短く、低速トルク型である|c.プロペラの直径が大きいことを意味する,a,ピッチはねじれの角度を示し、大きいほど空気を多く押し出しますが、モーターへの負荷も増えます。
モーターの「KV値」が高いモーターの特徴はどれか。,システム,a.回転数が低く、大きなプロペラを回せる|b.回転数が高く、小さなプロペラ向きである|c.電圧に関係なく一定の回転数である,b,KV値は1Vあたりの回転数を示し、値が高い（高KV）ほど高回転型で、小径プロペラに適しています。
気圧センサによる高度維持において、誤差が生じやすい状況はどれか。,システム,a.晴天無風の安定した日|b.天候の急変や空調の風などで気圧が変化した時|c.気温が一定の屋内,b,気圧センサは気圧の変化を高度の変化として読み取るため、環境による気圧変動を誤検知することがあります。
GNSSの測位精度を表す指標「DOP」について、正しい記述はどれか。,システム,a.値が小さいほど精度が良い|b.値が大きいほど精度が良い|c.値は精度に関係ない,a,衛星の配置バランスが良いとDOP値は小さくなり、測位精度が高まります。
「インシデント」と「事故」の違いについて、正しい記述はどれか。,規則,a.インシデントは報告不要|b.インシデントは事故に至るおそれがあった事態、事故は実際に被害が生じた事態|c.自分の機体だけが壊れたら事故,b,被害が発生する手前の「ヒヤリハット」の中でも重大なものがインシデントです。自損のみは事故報告の対象外です。
安全確保措置として「是正命令」が出される対象者は誰か。,規則,a.機体メーカー|b.無人航空機を飛行させる者（操縦者や運航者）|c.販売店,b,運航の安全に支障があると認められる場合、国は操縦者や所有者に対して改善を命じることができます。
「地上リスク」の評価において、人口密度が高い地域ほどリスクはどうなるか。,リスク,a.低くなる|b.変わらない|c.高くなる,c,第三者への被害リスクが高まるため、リスククラスは上がります。
「安全マージン」をとったバッテリー運用の目安はどれか。,運航,a.0%まで使い切る|b.10%残して着陸|c.20%～30%程度残して着陸,c,突風や着陸のやり直しを考慮し、余裕を持って着陸させるのが安全運航の基本です。
CRM（クルー・リソース・マネジメント）における「権威勾配」の適切な状態はどれか。,運航,a.操縦者が絶対的権力を持ち、補助者は何も言えない状態|b.補助者が危険を感じた時に、遠慮なく操縦者に助言できる状態|c.誰も責任を取らない状態,b,心理的安全性が確保され、誰でも安全に関する発言ができるフラットな関係性が理想です。
目視外飛行において、補助者を配置しない場合の追加要件はどれか。,規則,a.機体前方の映像を送信機で確認できるカメラ等|b.スピーカー|c.集音マイク,a,操縦者が周囲の状況を把握するために、機上カメラ等で飛行経路全体の状況を確認できる機能が必須です。
夜間飛行において、機体の向き（機首方向）を判断するための装備はどれか。,システム,a.赤外線カメラ|b.機体の姿勢と方向が視認できる灯火（航法灯）|c.プロペラガード,b,灯火の色（前が赤など）で向きを判断します。
「物件投下」において、投下場所に補助者を配置しない場合の投下高度の制限はどれか。,規則,a.1m以内|b.10m以内|c.30m以内,a,補助者なしでの投下は、高度1m以内という厳しい制限があります。
「150m以上の高さの空域」の例外として、許可不要で飛行できるケースはどれか。,規則,a.高層ビルや鉄塔などの物件から30m以内の空域|b.山頂から150m以内の空域|c.海上,a,航空機の航行が想定されない「物件の周辺30m」は、150m制限の適用除外となります。
特定飛行の許可・承認の有効期間は原則として最長どのくらいか。,規則,a.3ヶ月|b.6ヶ月|c.1年,c,包括申請などで許可される期間は原則として最長1年です。
機体認証の「第一種」と「第二種」の違いとして正しいものはどれか。,規則,a.第一種はカテゴリーIII（第三者上空）用、第二種はカテゴリーII用|b.第一種は大型機用、第二種は小型機用|c.第一種は輸入機用、第二種は国産機用,a,リスクの高いカテゴリーIII飛行には、より厳格な第一種機体認証が必要です。
「ダウンバースト」が発生しやすい気象条件はどれか。,リスク,a.快晴無風の日|b.発達した積乱雲の下|c.霧が発生している時,b,積乱雲からの冷たい下降気流が地面に衝突して広がる現象です。
飛行計画の通報（DIPS）を行うタイミングはいつか。,規則,a.飛行終了後|b.飛行開始前|c.年度末にまとめて,b,他の航空機等との安全確保のため、飛行前に通報する必要があります。
修了審査において、眼鏡やコンタクトレンズの使用に関する基準はどれか。,運航,a.裸眼で1.0以上|b.矯正視力を含めて両眼で0.7以上|c.片眼で0.1以上,b,自動車免許と同様に、矯正視力で両眼0.7以上が求められます。
修了審査の「飛行後点検」で、機器の発熱を確認する正しい方法はどれか。,運航,a.非接触温度計を使う|b.モーターやバッテリーを手で触れて確認する|c.息を吹きかけて確認する,b,ソースに基づき、実際に手で触れて「機器発熱なし！」と発声確認する必要があります。
「SHELLモデル」の中心にある「L」は何を指すか。,運航,a.Liveware（人間・操縦者）|b.Logic（論理）|c.Law（法律）,a,SHELLモデルは、中心にいる人間（L）と周辺要素との不適合を分析する手法です。
飛行機の重量が2倍になった場合、同じ迎え角で飛行するために必要な速度は何倍になるか。,システム,a.2倍|b.約1.4倍（ルート2倍）|c.変わらない,b,重量が2倍になると揚力も2倍必要となり、速度は√2倍（約1.41倍）必要となります。
レベル3.5飛行の実施場所として適切な条件はどれか。,規則,a.イベント会場の上空|b.第三者が存在する可能性が低い場所（道路等の一時横断は可）|c.人口集中地区の駅前,b,レベル3.5はあくまで無人地帯での飛行（カテゴリーII）の一形態であり、第三者上空（カテゴリーIII）とは異なります。
無人航空機の定義において、バッテリーを含む重量が「100g」の機体はどう扱われるか。,規則,a.模型航空機（規制対象外）|b.無人航空機（規制対象）|c.おもちゃ,b,定義は「100g以上」なので、100gジャストの機体は無人航空機として扱われます。
